absolute_error,squared_error,sqrt(squared_error),Accuracy,Store,Department
0.017188,0.000759,0.027553,99.999234,2,77
0.01738,0.00052,0.022809,95.318271,2,79
0.011136,0.000254,0.015938,81.900727,2,80
0.010366,0.0002,0.01414,91.486849,2,81
0.017622,0.000538,0.023203,91.100594,2,82
0.015892,0.000444,0.021073,92.860138,2,83
0.024735,0.001463,0.038252,91.802539,2,85
0.027664,0.001598,0.039977,89.748687,2,87
0.016808,0.000766,0.027673,93.073722,2,90
0.007968,0.00012,0.010949,94.604942,2,91
0.015563,0.000543,0.023305,95.055851,2,92
0.019742,0.000682,0.026111,93.212571,2,93
0.013266,0.000359,0.018947,95.125549,2,94
0.015571,0.000465,0.02156,91.354235,2,95
0.014723,0.000526,0.022945,96.046017,2,96
0.01208,0.00022,0.014837,94.676984,2,97
0.023933,0.001318,0.03631,88.556895,2,98
0.035311,0.006775,0.08231,83.398026,2,99
0.054358,0.005871,0.076624,86.259208,3,1
0.012809,0.000263,0.016211,97.267413,3,2
0.040241,0.004402,0.066349,93.039376,3,3
0.010824,0.000202,0.014223,95.065135,3,4
0.045922,0.004022,0.063416,91.02896,3,5
0.027515,0.001032,0.032117,95.003492,3,6
0.045166,0.005731,0.075704,94.838139,3,7
0.013166,0.000286,0.016926,89.050705,3,8
0.032831,0.002144,0.046305,94.509769,3,9
0.019978,0.000591,0.024307,95.616479,3,10
0.031573,0.001917,0.04378,97.581898,3,11
0.015468,0.000363,0.019058,91.773736,3,12
0.014721,0.000413,0.020314,90.051931,3,13
0.024151,0.001363,0.036923,95.509909,3,14
0.03791,0.002684,0.051811,97.328047,3,16
0.016901,0.00045,0.02122,91.909055,3,17
0.034821,0.002364,0.048622,98.806471,3,18
0.015577,0.000719,0.026821,75.541134,3,19
0.015823,0.000399,0.019975,91.903047,3,20
0.006426,0.000069,0.00833,89.243688,3,21
0.021573,0.000767,0.027689,94.028035,3,22
0.028868,0.001353,0.036789,95.884806,3,23
0.029591,0.001938,0.044017,92.421696,3,24
0.021311,0.00078,0.027936,92.685734,3,25
0.02306,0.001155,0.033987,91.860974,3,26
0.005366,0.000048,0.006946,94.36911,3,27
0.003161,0.000015,0.003917,92.461216,3,28
0.01409,0.000333,0.018237,94.189471,3,29
0.009779,0.000153,0.012375,94.598626,3,30
0.011699,0.000314,0.017722,95.245156,3,31
0.050098,0.006008,0.077511,91.831068,3,32
0.021971,0.001024,0.031993,94.760292,3,33
0.026454,0.001072,0.032747,93.112287,3,34
0.013726,0.000293,0.017109,83.826105,3,35
0.015159,0.000415,0.020376,93.696262,3,36
0.020102,0.000677,0.026019,97.621369,3,38
0.01389,0.000324,0.018001,96.476729,3,40
0.011232,0.000266,0.016314,91.267126,3,41
