absolute_error,squared_error,sqrt(squared_error),Accuracy,Store,Department
0.035790,0.001702,0.041254,84.360281,2.000000,20.000000
0.036840,0.001987,0.044571,87.702566,2.000000,21.000000
0.050873,0.003784,0.061512,83.600923,2.000000,22.000000
0.081582,0.009456,0.097242,74.805039,2.000000,23.000000
0.068718,0.007765,0.088120,87.934286,2.000000,24.000000
0.064013,0.005694,0.075458,74.896246,2.000000,25.000000
0.060736,0.005096,0.071389,78.525475,2.000000,26.000000
0.027325,0.001043,0.032289,93.824548,2.000000,27.000000
0.011717,0.000222,0.014883,90.845842,2.000000,28.000000
0.037592,0.001981,0.044513,94.165494,2.000000,29.000000
0.038603,0.001997,0.044692,82.191363,2.000000,30.000000
0.042915,0.002622,0.051203,75.656420,2.000000,31.000000
0.082141,0.011163,0.105654,51.811791,2.000000,32.000000
0.069578,0.007081,0.084151,86.993074,2.000000,33.000000
0.051008,0.003719,0.060984,78.270757,2.000000,34.000000
0.046531,0.002813,0.053036,70.643808,2.000000,35.000000
0.058317,0.005232,0.072334,91.418105,2.000000,36.000000
0.031500,0.001323,0.036373,45.936866,2.000000,37.000000
0.049806,0.003413,0.058419,70.450548,2.000000,38.000000
0.019914,0.000579,0.024062,83.006798,2.000000,40.000000
0.081524,0.009347,0.096682,80.219409,2.000000,41.000000
0.031381,0.001338,0.036582,47.043639,2.000000,42.000000
0.039866,0.002239,0.047316,80.972917,2.000000,44.000000
0.002987,0.000014,0.003693,86.380718,2.000000,45.000000
0.029531,0.001436,0.037900,97.527102,2.000000,46.000000
0.007960,0.000143,0.011938,99.177624,2.000000,47.000000
0.079511,0.008433,0.091832,61.036795,2.000000,48.000000
0.080182,0.008480,0.092086,71.239726,2.000000,49.000000
0.054185,0.004164,0.064533,74.094570,2.000000,52.000000
0.008234,0.000091,0.009564,86.225476,2.000000,54.000000
0.050280,0.004288,0.065482,95.937611,2.000000,55.000000
0.088229,0.010380,0.101881,94.411144,2.000000,56.000000
0.118196,0.019261,0.138782,49.245544,2.000000,58.000000
0.037036,0.001731,0.041602,95.025261,2.000000,59.000000
0.007589,0.000083,0.009095,78.776475,2.000000,60.000000
0.097886,0.013247,0.115094,83.166545,2.000000,67.000000
0.065394,0.005842,0.076431,76.959063,2.000000,71.000000
0.103523,0.015236,0.123435,60.311815,2.000000,72.000000
0.046708,0.003267,0.057160,73.106866,2.000000,74.000000
0.036618,0.003673,0.060603,99.996295,2.000000,77.000000
0.036031,0.001778,0.042166,84.000010,2.000000,79.000000
0.019071,0.000595,0.024385,57.633481,2.000000,80.000000
0.024289,0.000885,0.029746,62.325712,2.000000,81.000000
0.054941,0.003825,0.061845,36.778996,2.000000,82.000000
0.032871,0.001541,0.039253,75.226263,2.000000,83.000000
0.041343,0.002405,0.049046,86.523934,2.000000,85.000000
0.061553,0.005599,0.074825,64.087012,2.000000,87.000000
0.028604,0.001066,0.032644,90.361865,2.000000,90.000000
0.018876,0.000520,0.022793,76.617886,2.000000,91.000000
0.020787,0.000724,0.026907,93.409364,2.000000,92.000000
0.038818,0.002004,0.044761,80.052921,2.000000,93.000000
0.034903,0.001781,0.042198,75.822173,2.000000,94.000000
0.025034,0.000858,0.029289,84.044266,2.000000,95.000000
0.038941,0.002031,0.045063,84.748499,2.000000,96.000000
0.031581,0.001238,0.035191,70.055823,2.000000,97.000000
0.045307,0.002575,0.050748,77.647375,2.000000,98.000000
0.017471,0.000427,0.020673,98.952728,2.000000,99.000000
0.117885,0.018685,0.136694,56.269382,3.000000,1.000000
0.026429,0.000933,0.030547,90.297043,3.000000,2.000000
0.055282,0.004401,0.066342,93.040872,3.000000,3.000000
0.026826,0.000885,0.029741,78.421483,3.000000,4.000000
0.086384,0.010145,0.100723,77.368887,3.000000,5.000000
0.056572,0.004285,0.065464,79.241851,3.000000,6.000000
0.076896,0.007799,0.088309,92.975962,3.000000,7.000000
0.024078,0.000807,0.028407,69.158757,3.000000,8.000000
0.072818,0.007022,0.083796,82.020373,3.000000,9.000000
0.042986,0.002334,0.048309,82.685708,3.000000,10.000000
0.066731,0.006886,0.082979,91.313198,3.000000,11.000000
0.027847,0.000973,0.031198,77.955426,3.000000,12.000000
0.028500,0.001026,0.032035,75.261153,3.000000,13.000000
